swap_count,mean_opinion_percent,mean_majority_opinion_percent,mean_minority_opinion_percent,mean_misp,std_opinion_percent,std_majority_opinion_percent,std_minority_opinion_percent
73,22.476003831764494,14.809832583708145,37.762441110822955,44.19066283490218,1.1446161945008624,1.5926213683453243,1.1935667951726923
74,22.40190260838199,14.678448275862067,37.80256304388579,44.26476405828468,1.147461558143827,1.6030377338618922,1.1924937836821494
75,22.3282019298281,14.548613193403298,37.84079503898655,44.338464736838574,1.1495921983605417,1.6103176619352673,1.188556742162367
76,22.25269838914609,14.411244377811094,37.888651597376956,44.41396827752058,1.1520112248332814,1.6174984983092315,1.1864238916474348
77,22.177686694982587,14.275462268865565,37.934816838078206,44.48897997168409,1.1544809351340266,1.6260037871149648,1.1720325835568863
78,22.101419881964212,14.139055472263866,37.978469872564304,44.56524678470246,1.1551961832801312,1.6305028458147222,1.1629152645518428
79,22.026083568566573,14.002073963018491,38.02605481795288,44.640583098100095,1.1553589429358042,1.633862840545784,1.1603949029268923
80,21.952215949042692,13.868953023488254,38.070339028142264,44.714450717623976,1.1531402047527242,1.633396126538762,1.1542498186041268
81,21.877883875550395,13.732258870564715,38.12035768788712,44.788782791116276,1.1505980527238495,1.6325984091212216,1.1506766599154097
82,21.802718268404593,13.596526736631684,38.165962460502676,44.86394839826208,1.1480142162258136,1.6317994887886795,1.14565368303349
83,21.728405624176062,13.458008495752122,38.21967654492559,44.93826104249061,1.1436125014262286,1.6269061442000314,1.1481261487518306
84,21.653332752274856,13.32246376811594,38.265185277573764,45.013333914391815,1.1376060920901327,1.6217371420822646,1.1481463738397093
85,21.580812591217676,13.189055472263867,38.314076786496834,45.08585407544899,1.1313741041470329,1.6153172831559304,1.140444911619755
86,21.50848519917069,13.050649675162418,38.37351052548659,45.15818146749598,1.1240016518269673,1.6067979063694378,1.1351449544586178
87,21.438240068084617,12.916016991504247,38.431654945337684,45.228426598582054,1.1144847772143276,1.5959296064734039,1.1377211419355189
88,21.370240314088488,12.786656671664167,38.48600889449148,45.29642635257818,1.1030495327914647,1.5807938001947015,1.1348764839089829
89,21.304051067548368,12.656959020489754,38.546456167371836,45.3626155991183,1.0885364245625528,1.5600200167707499,1.1334074413341837
90,21.24024173118223,12.534045477261369,38.60050132732383,45.42642493548444,1.0743965636386708,1.5404211090400817,1.1296461102604125
91,21.17776770473507,12.410894552723635,38.65901776233871,45.488898961931596,1.0600465627858755,1.519941685465959,1.1299542320007372
92,21.11877963512751,12.292553723138429,38.71837980693809,45.54788703153916,1.0452463099230285,1.4977699245626441,1.1268272923295926
93,21.061993401432208,12.177073963018488,38.77862916784998,45.60467326523447,1.0280616835706338,1.4694804115131166,1.11859276895605
94,21.006182394320064,12.062681159420288,38.839630964509446,45.66048427234661,1.01291871152721,1.4422400276245257,1.1184332680404916
